timestamp,gpu_utilization,memory_utilization,encoder_utilization,decoder_utilization
Thu Aug  1 12:22:31 2024,0,0,0,0
Thu Aug  1 12:22:32 2024,0,0,0,0
Thu Aug  1 12:22:33 2024,0,0,0,0
Thu Aug  1 12:22:34 2024,0,0,0,0
Thu Aug  1 12:22:35 2024,0,0,0,0
Thu Aug  1 12:22:36 2024,0,0,0,0
Thu Aug  1 12:22:37 2024,0,0,0,0
Thu Aug  1 12:22:38 2024,0,0,0,0
Thu Aug  1 12:22:39 2024,0,0,0,0
Thu Aug  1 12:22:40 2024,0,0,0,0
Thu Aug  1 12:22:41 2024,0,0,0,0
Thu Aug  1 12:22:43 2024,0,0,0,0
Thu Aug  1 12:22:44 2024,0,0,0,0
Thu Aug  1 12:22:45 2024,0,0,0,0
Thu Aug  1 12:22:46 2024,0,0,0,0
Thu Aug  1 12:22:47 2024,0,0,0,0
Thu Aug  1 12:22:48 2024,0,0,0,0
Thu Aug  1 12:22:49 2024,0,0,0,0
Thu Aug  1 12:22:50 2024,0,0,0,0
Thu Aug  1 12:22:51 2024,0,0,0,0
Thu Aug  1 12:22:52 2024,0,0,0,0
Thu Aug  1 12:22:53 2024,0,0,0,0
Thu Aug  1 12:22:54 2024,0,0,0,0
Thu Aug  1 12:22:55 2024,0,0,0,0
Thu Aug  1 12:22:56 2024,0,0,0,0
Thu Aug  1 12:22:57 2024,0,0,0,0
Thu Aug  1 12:22:58 2024,0,0,0,0
Thu Aug  1 12:22:59 2024,0,0,0,0
Thu Aug  1 12:23:00 2024,0,0,0,0
Thu Aug  1 12:23:01 2024,0,0,0,0
Thu Aug  1 12:23:02 2024,0,0,0,0
Thu Aug  1 12:23:03 2024,0,0,0,0
Thu Aug  1 12:23:04 2024,0,0,0,0
Thu Aug  1 12:23:05 2024,0,0,0,0
Thu Aug  1 12:23:06 2024,0,0,0,0
Thu Aug  1 12:23:07 2024,0,0,0,0
Thu Aug  1 12:23:08 2024,0,0,0,0
Thu Aug  1 12:23:09 2024,0,0,0,0
Thu Aug  1 12:23:10 2024,0,0,0,0
Thu Aug  1 12:23:11 2024,0,0,0,0
Thu Aug  1 12:23:12 2024,0,0,0,0
Thu Aug  1 12:23:13 2024,0,0,0,0
Thu Aug  1 12:23:14 2024,0,0,0,0
Thu Aug  1 12:23:15 2024,0,0,0,0
Thu Aug  1 12:23:16 2024,0,0,0,0
Thu Aug  1 12:23:17 2024,0,0,0,0
Thu Aug  1 12:23:18 2024,0,0,0,0
Thu Aug  1 12:23:19 2024,0,0,0,0
Thu Aug  1 12:23:21 2024,0,0,0,0
Thu Aug  1 12:23:22 2024,0,0,0,0
Thu Aug  1 12:23:23 2024,0,0,0,0
Thu Aug  1 12:23:24 2024,0,0,0,0
Thu Aug  1 12:23:25 2024,0,0,0,0
Thu Aug  1 12:23:26 2024,0,0,0,0
Thu Aug  1 12:23:27 2024,0,0,0,0
Thu Aug  1 12:23:28 2024,0,0,0,0
Thu Aug  1 12:23:29 2024,0,0,0,0
Thu Aug  1 12:23:30 2024,0,0,0,0
Thu Aug  1 12:23:31 2024,0,0,0,0
Thu Aug  1 12:23:32 2024,0,0,0,0
Thu Aug  1 12:23:33 2024,0,0,0,0
